build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-B-11-2026-05-31T08-14-31.384Z.json,0.1502,5.73,False,1.0,just_right,2.987,stopped,2.972,-0.298,3.083
by-build,stroke-B-12-2026-05-31T08-14-35.951Z.json,0.1611,0.91,False,1.0,just_right,2.008,captured,2.0,0.0,1.167
by-build,stroke-B-13-2026-05-31T08-14-40.951Z.json,0.1615,8.96,False,1.0,just_right,3.458,stopped,3.416,-0.539,3.333
by-build,stroke-B-14-2026-05-31T08-14-45.871Z.json,0.1733,20.98,False,1.0,,3.984,stopped,3.72,-1.426,3.583
by-build,stroke-B-15-2026-05-31T08-14-50.418Z.json,0.1865,12.43,False,1.0,just_right,4.614,stopped,4.506,-0.993,3.85
by-build,stroke-B-2-2026-05-31T08-13-30.315Z.json,0.1156,8.26,False,1.0,just_right,1.768,stopped,1.75,-0.254,2.367
by-build,stroke-B-3-2026-05-31T08-13-34.665Z.json,0.1227,5.7,False,1.0,just_right,1.991,stopped,1.982,-0.198,2.517
by-build,stroke-B-4-2026-05-31T08-13-39.936Z.json,0.1384,0.37,False,1.0,just_right,2.001,captured,2.0,0.0,1.517
by-build,stroke-B-5-2026-05-31T08-13-45.284Z.json,0.1408,7.55,False,1.0,just_right,2.627,stopped,2.604,-0.345,2.9
by-build,stroke-B-6-2026-05-31T08-13-50.649Z.json,0.1403,-1.74,False,1.0,late,2.608,stopped,2.607,0.079,2.883
by-build,stroke-B-7-2026-05-31T08-13-55.383Z.json,0.1582,2.87,False,1.0,just_right,3.316,stopped,3.312,-0.166,3.267
by-build,stroke-B-8-2026-05-31T08-14-01.151Z.json,0.1858,-2.37,False,1.0,just_right,4.577,stopped,4.573,0.189,3.85
by-build,stroke-B-9-2026-05-31T08-14-08.018Z.json,0.112,4.54,False,1.0,just_right,1.657,stopped,1.652,-0.131,2.283
by-build,stroke-C-1-2026-05-31T08-15-11.919Z.json,0.131,-6.07,False,1.0,just_right,2.27,stopped,2.257,0.24,2.683
by-build,stroke-C-2-2026-05-31T08-15-26.720Z.json,0.1884,-19.61,False,1.0,just_right,4.708,stopped,4.435,1.58,3.9
